year,quarter,county,sales,month,date
2012,2,Fremont,10261000,04,2012-04-01
2012,2,Garfield,40443000,04,2012-04-01
2012,2,Jefferson,268956000,04,2012-04-01
2012,2,La Plata,21057000,04,2012-04-01
2012,2,Larimer,161543000,04,2012-04-01
2012,2,Mesa,71063000,04,2012-04-01
2012,2,Pueblo,71054000,04,2012-04-01
2012,2,Rest of State,133922000,04,2012-04-01
2012,2,Weld,154341000,04,2012-04-01
2012,3,Adams,293086000,07,2012-07-01
2012,3,Arapahoe,680081000,07,2012-07-01
2012,3,Boulder,174223000,07,2012-07-01
2012,3,Broomfield,37534000,07,2012-07-01
2012,3,Denver,222183000,07,2012-07-01
2012,3,Douglas,96191000,07,2012-07-01
2012,3,El Paso,392330000,07,2012-07-01
2012,3,Fremont,9652000,07,2012-07-01
2012,3,Garfield,44489000,07,2012-07-01
2012,3,Jefferson,291732000,07,2012-07-01
2012,3,La Plata,22079000,07,2012-07-01
2012,3,Larimer,164928000,07,2012-07-01
2012,3,Mesa,76565000,07,2012-07-01
2012,3,Pueblo,73483000,07,2012-07-01
2012,3,Rest of State,137973000,07,2012-07-01
2012,3,Weld,168508000,07,2012-07-01
2012,4,Adams,273786000,10,2012-10-01
2012,4,Arapahoe,658145000,10,2012-10-01
2012,4,Boulder,169503000,10,2012-10-01
2012,4,Broomfield,36294000,10,2012-10-01
2012,4,Denver,193805000,10,2012-10-01
2012,4,Douglas,92536000,10,2012-10-01
2012,4,El Paso,392140000,10,2012-10-01
2012,4,Fremont,9754000,10,2012-10-01
2012,4,Garfield,46093000,10,2012-10-01
2012,4,Jefferson,290936000,10,2012-10-01
2012,4,La Plata,22035000,10,2012-10-01
2012,4,Larimer,161163000,10,2012-10-01
2012,4,Mesa,72571000,10,2012-10-01
2012,4,Pueblo,71642000,10,2012-10-01
2012,4,Rest of State,140522000,10,2012-10-01
2012,4,Weld,158963000,10,2012-10-01
2013,1,Adams,273475000,01,2013-01-01
2013,1,Arapahoe,620722000,01,2013-01-01
2013,1,Boulder,159893000,01,2013-01-01
2013,1,Broomfield,35785000,01,2013-01-01
2013,1,Denver,178893000,01,2013-01-01
2013,1,Douglas,88192000,01,2013-01-01
2013,1,El Paso,378717000,01,2013-01-01
2013,1,Fremont,7886000,01,2013-01-01
2013,1,Garfield,45163000,01,2013-01-01
2013,1,Jefferson,273998000,01,2013-01-01
2013,1,La Plata,22401000,01,2013-01-01
2013,1,Larimer,157853000,01,2013-01-01
2013,1,Mesa,74136000,01,2013-01-01
2013,1,Pueblo,72362000,01,2013-01-01
2013,1,Rest of State,132631000,01,2013-01-01
